GWG,Veillonella,Enterococcus,Bifidobacterium,Escherichia/Shigella,Bacteroides,Streptococcus,Prevotella,Klebsiella,Enterobacter,Staphylococcus,Megamonas,Sutterella,Parabacteroides,Alloprevotella,Dialister,Barnesiella,Lactobacillus,Roseburia,Clostridium_sensu_stricto,Alistipes,Faecalibacterium,Clostridium_XlVa,Citrobacter,Flavonifractor,Akkermansia,Lachnospiracea_incertae_sedis,Mitsuokella,Butyricimonas,Brevundimonas,Sphingomonas,Rothia,Fusicatenibacter,Blautia,Gemmiger,Oscillibacter,Kluyvera,Salmonella,Haemophilus,Proteus,Ruminococcus,Bacillus,Odoribacter,Dorea
1,0.002142759,0.692719761,0.0028113,0.001122806,0.042118075,0.053954676,0.06191717,0.000299986,0.000222847,0.000891388,0.011519473,0.011596613,0.004885491,0.012436574,0.007071105,0.009830979,0.000754251,0.008116772,0.001328511,0.007971064,0.006985395,0.002194185,0.000111423,0.000814248,0.000565688,0.004388371,0.003488412,0.00487692,0.000102852,0.000779964,8.57E-06,0.002845584,0.001559929,0.002305609,0.001834202,5.14E-05,3.43E-05,0.000677112,0,0.000445694,0.00049712,0.000428552,0.000291415
1,0.007507074,0.048893118,0.087554298,0.000468258,0.008598015,0.023851273,0.013788706,0.003746065,0.634952975,0.000363647,0.003397362,0.002371179,0.001215478,0.00301877,0.002973937,0.00217192,0.007322759,0.002112143,0.000547962,0.001379867,0.001648866,0.000488184,0.00016937,0.00020424,7.97E-05,0.001190571,0.001150719,0.001036146,0.00261029,0.00030387,0.000149444,0.000652572,0.000368629,0.000592795,0.000383573,1.49E-05,0.004961543,8.97E-05,0.000278962,0.000109592,0.000109592,5.98E-05,6.97E-05
1,0.530452238,0.018578138,0.067712673,0.246714264,0.003531929,0.001013181,0.002585031,0.000312476,0.019515567,8.52E-05,0.000624953,0.000662829,0.000331414,0.000511325,0.001818044,0.000501856,0.000113628,0.000606015,0.003200515,0.000340883,0.00073858,0.000236724,0.005700326,6.63E-05,0.000113628,0.032715325,0.000303007,0.000293538,0,9.47E-06,2.84E-05,0.0002746,9.47E-05,0.000198849,0.000208318,0.000634422,0.001931672,0.001212029,0.000198849,0.000142035,0.000331414,1.89E-05,2.84E-05
1,0.198636519,0.007165166,0.392214115,0.150580037,0.006036587,0.197389832,0.006830529,5.25E-05,0.001108895,0.001292617,0.001404163,0.00117451,0.000688958,0.001397601,0.001148264,0.000852996,0.00356946,0.000846434,0.000754573,0.000892365,0.001010472,0.000360883,0.001751923,5.91E-05,0.000118107,0.000728327,0.000446183,0.000426498,6.56E-06,0.000170599,0.001509147,0.000209968,0.000196845,0.000282145,0.000341198,0.000124669,6.56E-06,7.87E-05,5.91E-05,0.000209968,0.000314952,9.19E-05,1.97E-05
1,0.530362576,0.086202572,0.225212419,0.001768819,0.026770266,0.005698812,0.023155444,0.000392356,0.005917502,0.004669681,0.004688977,0.004065067,0.002797949,0.004888371,0.004058635,0.004032906,0.004688977,0.003370403,0.001273549,0.004045771,0.002990911,0.000861897,0.003788488,0.000270147,0.000546726,0.002244792,0.001466511,0.001704498,7.72E-05,0.000147938,0.00077828,0.000791144,0.000758984,0.001408623,0.001228525,0.000366628,3.86E-05,0.000321603,0.000141505,0.000758984,0.000508133,0.00021869,5.15E-05
1,0.00568904,0.001445324,0.332403953,0.002306368,0.085038337,0.102781992,0.108963057,0.000522777,0.000317766,0.072317438,0.027122883,0.02333019,0.010804051,0.024191234,0.016554594,0.018871212,0.00078929,0.017118373,0.001670835,0.014719751,0.01469925,0.004048956,0.000184509,0.001814343,0.001045553,0.009922506,0.008138915,0.008343926,0.012659396,0.001691336,5.13E-05,0.004469228,0.003464677,0.004858748,0.003105908,2.05E-05,5.13E-05,0.001435073,0,0.000922547,0.000256263,0.000820042,0.00077904
1,0.00632052,0.000496268,0.005128099,0.454002192,0.09208522,0.017893206,0.115506296,0.00047559,0.00031706,0.000454912,0.033139651,0.026798453,0.01182082,0.025929985,0.020836349,0.02028494,0.000916717,0.015349834,0.001564622,0.015915028,0.017383153,0.004321664,0.00142677,0.001964393,0.000992535,0.009442871,0.009608293,0.009174059,5.51E-05,0.001040784,4.82E-05,0.005031603,0.00338427,0.004666294,0.003894323,5.51E-05,4.14E-05,0.001219991,0.00013096,0.000964965,0.000151637,0.000958072,0.000572086
1,0.005699472,0.341190025,0.004253155,0.002120449,0.081900805,0.00335227,0.103552671,0.000606718,0.002622983,0.166761658,0.030525884,0.024544502,0.011233476,0.023668131,0.019464004,0.018471193,0.000704773,0.016920692,0.002187862,0.015866596,0.015590815,0.004651505,0.002040779,0.00191821,0.000802829,0.009952627,0.00910077,0.00746447,6.74E-05,0.000949912,1.84E-05,0.005006956,0.003254215,0.005184681,0.004044787,0.000208368,4.90E-05,0.001409547,6.13E-05,0.000962169,0.00052092,0.000625103,0.000986683
1,0.009352226,0.000107851,0.084411416,0.003240667,0.123109397,0.009722001,0.170836051,0.0007755,0.000277331,0.028005321,0.053170564,0.040023008,0.015879782,0.039406717,0.035313513,0.030028812,0.000575206,0.022299487,0.003317703,0.023537206,0.01791868,0.006019115,0.000369775,0.002511389,0.000693328,0.015848967,0.013681675,0.012757238,0.016901799,0.061731882,0.003759379,0.007508487,0.004884111,0.006332397,0.005592847,8.73E-05,2.05E-05,0.00174616,2.05E-05,0.001504779,0.000138666,0.001247991,0.000796043
1,0.010391522,8.12E-05,0.044569888,0.003171579,0.142022883,0.002262321,0.189169003,0.000692768,0.000135306,0.108423628,0.053473042,0.041371248,0.018526136,0.042957038,0.039276707,0.033729149,0.000579111,0.021849258,0.002976738,0.025231915,0.020084864,0.006927681,0.000443805,0.003160755,0.000947144,0.016198868,0.016799628,0.014396588,0.023462109,0.002002533,0.002484223,0.006694955,0.004443458,0.007214531,0.006402693,8.66E-05,5.41E-05,0.001656149,5.41E-06,0.001639912,0.000248964,0.001169046,0.000925495
